f1,p,r,acc,train_data_dir,embedding,model,share_rep_weights,bidirectional,cell_type,hidden_size,num_layers,dropout_keep_prob,l2_reg_lambda,Optimizer,learning_rate,batch_size,num_epochs,w2v_type,additional_conf
0.4172,0.4863,0.4193,0.5416,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,ELMO,RNN,TRUE,FALSE,BasicLSTM,50,1,0.5,0,AdaOptimizer,0.001,64,20,ELMO,{ELMO:0}
0.4219,0.4713,0.421,0.5434,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,ELMO,RNN,TRUE,FALSE,BasicLSTM,50,1,0.5,0,AdaOptimizer,0.001,64,20,ELMO,{ELMO:0}
0.4033,0.4129,0.4111,0.5194,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,ELMO,RNN,TRUE,TRUE,BasicLSTM,50,1,0.5,0,AdaOptimizer,0.001,64,20,ELMO,{ELMO:0}
0.411,0.4322,0.3996,0.5065,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,ELMO,RNN,TRUE,TRUE,BasicLSTM,50,1,0.5,0,AdaOptimizer,0.001,64,20,ELMO,{ELMO:0}
0.4259,0.4919,0.4071,0.5453,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,ELMO,CNN,TRUE,TRUE,BasicLSTM,50,1,0.5,0,AdaOptimizer,0.001,64,20,ELMO,{ELMO:0}
0.4259,0.4919,0.4071,0.5453,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,ELMO,CNN,TRUE,TRUE,BasicLSTM,50,1,0.5,0,AdaOptimizer,0.001,64,20,ELMO,{ELMO:0}
0.4628,0.55,0.4355,0.5545,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,ELMO,CNN,TRUE,TRUE,BasicLSTM,50,1,0.5,0,AdaOptimizer,0.001,64,20,ELMO,{ELMO:1}
0.4809,0.543,0.463,0.5545,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,ELMO,RNN,TRUE,TRUE,BasicLSTM,50,1,0.5,0,AdaOptimizer,0.001,64,20,ELMO,{ELMO:1}
0.4779,0.5375,0.461,0.5545,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,ELMO,RNN,TRUE,TRUE,BasicLSTM,50,1,0.5,0,AdaOptimizer,0.001,64,20,ELMO,{ELMO:1}
0.4425,0.4862,0.4242,0.5397,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,ELMO,RNN,TRUE,FALSE,BasicLSTM,50,1,0.5,0,AdaOptimizer,0.001,64,20,ELMO,{ELMO:1}
0.4514,0.4843,0.4372,0.5508,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,ELMO,RNN,TRUE,FALSE,BasicLSTM,50,1,0.5,0,AdaOptimizer,0.001,64,20,ELMO,{ELMO:1}
0.4562,0.4671,0.4559,0.5416,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,ELMO,RNN,TRUE,FALSE,BasicLSTM,50,1,0.5,0,AdaOptimizer,0.001,64,20,ELMO,{ELMO:1}
0.4377,0.4688,0.4287,0.5434,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,ELMO,RNN,True,False,BasicLSTM,50,1,0.5,0.0,AdaOptimizer,0.001,64,20,ELMO,{'ELMO:2'}
0.4497,0.4798,0.4411,0.5434,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,ELMO,RNN,True,False,BasicLSTM,50,1,0.5,0.0,AdaOptimizer,0.001,64,20,ELMO,{'ELMO:2'}
0.4597,0.5628,0.4367,0.5545,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,ELMO,RNN,True,True,BasicLSTM,50,1,0.5,0.0,AdaOptimizer,0.001,64,20,ELMO,{'ELMO:2'}
0.4562,0.5293,0.4287,0.5527,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,ELMO,RNN,True,True,BasicLSTM,50,1,0.5,0.0,AdaOptimizer,0.001,64,20,ELMO,{'ELMO:2'}
0.4628,0.5500,0.4355,0.5545,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,ELMO,CNN,True,True,BasicLSTM,50,1,0.5,0.0,AdaOptimizer,0.001,64,20,ELMO,{'ELMO:2'}
