f1,p,r,acc,train_data_dir,embedding,model,share_rep_weights,bidirectional,cell_type,hidden_size,num_layers,dropout_keep_prob,l2_reg_lambda,Optimizer,learning_rate,batch_size,num_epochs,w2v_type,additional_conf
0.4522,0.5244,0.4346,0.5508,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,,CNN,True,True,BasicLSTM,50,1,0.5,0.0,AdaOptimizer,0.001,64,20,bert,{'bert_sep2'}
0.4401,0.5158,0.4271,0.5508,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,,RNN,True,False,BasicLSTM,50,1,0.5,0.0,AdaOptimizer,0.001,64,20,bert,{'bert_sep2'}
0.4346,0.4720,0.4310,0.5231,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,,RNN,True,False,BasicLSTM,50,1,0.5,0.0,AdaOptimizer,0.001,64,20,bert,{'bert_sep2'}
0.4632,0.5145,0.4481,0.5712,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,,RNN,True,True,BasicLSTM,50,1,0.5,0.0,AdaOptimizer,0.001,64,20,bert,{'bert_sep2'}
0.4568,0.4935,0.4442,0.5638,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,,RNN,True,True,BasicLSTM,50,1,0.5,0.0,AdaOptimizer,0.001,64,20,bert,{'bert_sep2'}
0.4467,0.4496,0.4477,0.5231,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,,RNN,True,True,BasicLSTM,50,1,0.5,0.0,AdaOptimizer,0.001,64,20,bert,{'bert_sep2'}
0.4522,0.5244,0.4346,0.5508,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,,CNN,True,True,BasicLSTM,50,1,0.5,0.0,AdaOptimizer,0.001,64,20,bert,{'bert_sep2'}
0.4724,0.7155,0.4363,0.5989,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,,Attention_RNN2,True,True,BasicLSTM,50,1,0.5,0.0,AdaOptimizer,0.001,64,20,bert,{'bert_sep2'}
0.4542,0.5416,0.4279,0.5749,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,,Attention_RNN2,True,True,BasicLSTM,50,1,0.5,0.0,AdaOptimizer,0.001,64,20,bert,{'bert_sep2'}
0.4898,0.5145,0.4760,0.5804,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,,Attention_RNN2,True,True,BasicLSTM,50,1,0.8,0.0,AdaOptimizer,0.001,64,20,bert,{'bert_sep2'}
0.5075,0.5721,0.4849,0.5989,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,,Attention_RNN2,True,True,BasicLSTM,50,1,0.7,0.0,AdaOptimizer,0.001,64,20,bert,{'bert_sep2'}
0.5061,0.5301,0.4972,0.5564,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,,Attention_RNN2,True,True,BasicLSTM,50,1,0.7,0.0,AdaOptimizer,0.001,64,20,bert,{'bert_sep2'}
0.5193,0.5478,0.5113,0.5860,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,,Attention_RNN2,True,True,BasicLSTM,50,1,0.6,0.0,AdaOptimizer,0.001,64,20,bert,{'bert_sep2'}
0.5065,0.5172,0.5051,0.5675,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,,Attention_RNN2,True,True,BasicLSTM,50,1,0.6,0.0,AdaOptimizer,0.001,64,20,bert,{'bert_sep2'}
0.5014,0.5287,0.4859,0.5693,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,,Attention_RNN3,True,True,BasicLSTM,50,1,0.5,0.0,AdaOptimizer,0.001,64,20,bert,{'bert_sep2'}
0.3342,0.5428,0.3405,0.5379,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,,Attention_RNN3,True,True,BasicLSTM,50,1,0.6,0.0,AdaOptimizer,0.001,64,20,bert,{'bert_sep2'}
0.4854,0.4842,0.4910,0.5656,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,,Attention_RNN3,True,True,BasicLSTM,50,1,0.7,0.0,AdaOptimizer,0.001,64,20,bert,{'bert_sep2'}
0.5035,0.5166,0.4999,0.5693,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,,Attention_RNN3,True,True,BasicLSTM,50,1,0.8,0.0,AdaOptimizer,0.001,64,20,bert,{'bert_sep2'}
0.4932,0.5115,0.4885,0.5823,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,,Attention_RNN6,True,True,BasicLSTM,50,1,0.5,0.0,AdaOptimizer,0.001,64,20,bert,{'bert_sep2'}
0.5305,0.5822,0.5114,0.6007,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,,Attention_RNN6,True,True,BasicLSTM,50,1,0.6,0.0,AdaOptimizer,0.001,64,20,bert,{'bert_sep2'}
0.4838,0.5237,0.4700,0.5749,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,,Attention_RNN6,True,True,BasicLSTM,50,1,0.7,0.0,AdaOptimizer,0.001,64,20,bert,{'bert_sep2'}
